id,title,author,series,position,subgenre,spice
seed-0036,The Sacrifice,Shantel Tessier,LORDS,3,Romance,0
seed-0037,Carnage,Shantel Tessier,,4,Dark Romance,0
seed-0038,Madness,Shantel Tessier,,5,Dark Romance,0
seed-0039,We Are Legion: We Are Bob,Ray Porter,,1,Romance,0
seed-0040,Consider Me,Becka Mack,Playing For Keeps,1,Romance,0
seed-0041,Play With Me,Becka Mack,Playing For Keeps,2,Romance,0
seed-0042,Unravel Me,Becka Mack,Playing For Keeps,3,Romance,0
seed-0043,Fall With Me,Becka Mack,Playing For Keeps,4,Romance,0
seed-0044,Breathe With Me,Becka Mack,,5,Romance,0
seed-0045,Love and Other Killers,Brynne Weaver,,3,Dark Romance,0
seed-0046,Kingfisher's POV,Callie Hart,,0,Romantasy,0
seed-0047,Crush,Tracy Wolff,,2,Romance,0
seed-0048,Covet,Tracy Wolff,,3,Romance,0
seed-0049,Court,Tracy Wolff,,4,Romance,0
seed-0050,Hexed,Emily McIntire,,6,Dark Romance,0
seed-0051,Caught Up (Paperback),Navessa Allen,,1,Dark Romance,0
seed-0052,Lights Out,Navessa Allen,Into Darkness,2,Dark Romance,5
seed-0053,The Ever King,L.J. Andrews,Ever Seas Series,1,Romantasy,4
seed-0054,The Ever Queen,L.J. Andrews,The Ever Seas,2,Romantasy,0
seed-0055,From Blood and Ash,Jennifer L. Armentrout,Blood and Ash,1,Romantasy,4
seed-0056,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Blood and Ash,2,Romantasy,0
seed-0057,The Crown of Gilded Bones,Jennifer L. Armentrout,,3,Romantasy,0
seed-0058,The War of Two Queens,Jennifer L. Armentrout,Blood and Ash,4,Romantasy,0
seed-0059,A Soul of Ash and Blood,Jennifer L. Armentrout,Blood and Ash,5,Romantasy,4
seed-0060,The Primal of Blood and Bone,Jennifer L. Armentrout,Blood and Ash,6,Romantasy,0
seed-0061,The Fine Print,Lauren Asher,Dreamland Billionaires,1,Romance,4
seed-0062,Terms and Conditions,Lauren Asher,Dreamland Billionaires,2,Romance,4
seed-0063,Final Offer,Lauren Asher,Dreamland Billionaires,3,Romance,4
seed-0064,This Will Be Fun,E.B. Asher,,,Romantasy,0
seed-0065,Empire of Flame and Thorns,Marion Blackwood,,1,Romantasy,0
seed-0066,Throne of Ice and Blood,Marion Blackwood,,2,Romantasy,0
seed-0067,Court of Lies and Deceit,Marion Blackwood,Flame and Throns,3,Romantasy,0
seed-0068,Realm of Wind and Vines,Marion Blackwood,Flame and Throns,4,Romantasy,0
seed-0069,Long Live Evil,Sarah Rees Brennan,Time of Iron,1,Romantasy,0
seed-0070,The Serpent and the Wings of Night,Carissa Broadbent,,1,Romantasy,0
seed-0071,The Ashes and the Star-Cursed King,Carissa Broadbent,,2,Romantasy,0
seed-0072,Slaying the Vampire Conqueror,Carissa Broadbent,Crowns of Nyaxia,0,Romantasy,0
seed-0073,Haunting Adeline,H.D. Carlton,Cat and Mouse,1,Dark Romance,5
seed-0074,Hunting Adeline,H.D. Carlton,Cat and Mouse,2,Dark Romance,5
seed-0075,Keep Me,Sara Cate,Sinful Manor,1,Dark Romance,0
seed-0076,Heartless Hunter,Kristen Ciccarelli,Crimson Moth,1,Romantasy,0
seed-0077,Rebel Witch,Kristen Ciccarelli,Crimson Moth,2,Romantasy,0
seed-0078,Five Broken Blades,Mai Corland,The Broken Blades,1,Romantasy,0
seed-0079,Wolf Gone Wild,Juliette Cross,Stay a Spell,1,Romantasy,0
seed-0080,Credence,Penelope Douglas,,,Dark Romance,5
seed-0081,First Lie Wins,Ashley Elston,,,Romance,0
seed-0082,Amid Clouds and Bones,Ella Fields,,,Romantasy,0
seed-0083,One Dark Window,Rachel Gillig,The Sheperd King,1,Romantasy,0
seed-0084,Two Twisted Crowns,Rachel Gillig,The Sheperd King,2,Romantasy,0
seed-0085,Bloody Black,Rhiannon Hargadon,,,Romantasy,0
seed-0086,Quicksilver,Callie Hart,Fae & Alchemy,1,Romantasy,4
seed-0087,Brimstone,Callie Hart,Fae & Alchemy,2,Romantasy,0
seed-0088,Older,Jennifer Hartman,,,Dark Romance,0
seed-0089,Bride,Ali Hazelwood,Bride,1,Romantasy,0
seed-0090,Mate,Ali Hazelwood,Bride,2,Romantasy,0
seed-0091,Deep End (Whet),Ali Hazelwood,,,Romance,0
seed-0092,Not In Love,Ali Hazelwood,,,Romance,0
seed-0093,The Striker,Ana Huang,Gods of the Game,1,Romance,0
seed-0094,The Defender,Ana Huang,Gods of the Dame,2,Romance,0
seed-0095,Cruel Beauty,Dana Isaly,,,Dark Romance,0
seed-0096,Fifty Shades of Grey,E.L. James,Fifty Shades,1,Romance,0
seed-0097,Fifty Shades Darker,E.L. James,Fifty Shades of Grey,2,Romance,0
seed-0098,Fifty Shades Freed,E.L. James,Fifty Shades,3,Romance,0
seed-0099,Grey,E.L. James,Fifty Shades,4,Dark Romance,0
seed-0100,A Curse Carved in Bone,Danielle L. Jensen,Sage of the Unfated,2,Romantasy,0
seed-0101,A Fate Inked in Bone,Danielle L. Jensen,,1,Romantasy,0
seed-0102,Say You'll Remember Me,Abby Jimenez,,,Romance,0
seed-0103,Gild,Raven Kennedy,The Plated Prisoner,1,Romantasy,0
seed-0104,Glint,Raven Kennedy,The Plated Prisoner,2,Romantasy,0
seed-0105,Gold,Raven Kennedy,The Plated Prisoner,5,Romantasy,0
seed-0106,Goldfinch,Raven Kennedy,The Plated Prisoner,6,Romantasy,0
seed-0107,Wolfsong,TJ Klune,Green Creek,1,Romantasy,0
seed-0108,Den of Vipers,K.A. Knight,,,Dark Romance,5
seed-0109,Fairydale,Veronica Lancet,,,Romantasy,0
seed-0110,Her Soul to Take,Harley Laroux,Souls Trilogy,1,Dark Romance,0
seed-0111,Assistant to the Villain,Hannah Nicole,Assistant to The Villain,1,Romantasy,0
seed-0112,Apprentice to the Villain,Hannah Nicole,Assistant to The Villain,2,Romantasy,0
seed-0113,Accomplice to the Villain,Hannah Nicole,Assistant to The Villain,3,Romantasy,0
seed-0114,Blood of Hercules,Jasmine Mas,Villians of Lore,1,Romantasy,0
seed-0115,Bonds of Hercules,Jasmine Mas,Villians of Lore,2,Romantasy,0
seed-0116,Distance,Luna Mason,Beneath the Mask,1,Dark Romance,0
seed-0117,Beneath the Stars,Emily McIntire,Sugerlake,1,Romance,0
seed-0118,Hooked,Emily McIntire,Never After,1,Dark Romance,0
seed-0119,Scarred,Emily McIntire,,2,Dark Romance,0
seed-0120,Leave Me Behind,K.M. Moronova,,1,Dark Romance,0
seed-0121,The Final Rose,Amy Oliveira,,,Romance,0
seed-0122,When the Moon Hatched,Sarah A. Parker,Moonfall,1,Romantasy,0
seed-0123,Court of the Vampire Queen,Katee Robert,Bloodline Vampires,,Dark Romance,0
seed-0124,Divine Rivals,Rebecca Ross,Letters of Enchantment,1,Romantasy,0
seed-0125,Ruthless Rivals,Rebecca Ross,,2,Romantasy,0
seed-0126,Enigma,Runyx Runyx,,,Dark Romance,0
seed-0127,Blood and Steel,Helen Scheuerer,,1,Romantasy,0
seed-0128,Vows and Ruins,Helen Scheuerer,,2,Romantasy,0
seed-0129,Fate and Furies,Helen Scheuerer,,3,Romantasy,0
seed-0130,Shadow and Storms,Helen Scheuerer,,4,Romantasy,0
seed-0131,Flawless,Elsie Silver,Chestnut Springs,1,Romance,0
seed-0132,Heartless,Elsie Silver,Chestnut Springs,2,Romance,0
seed-0133,Powerless,Elsie Silver,Chestnut Springs,3,Romance,0
seed-0134,Reckless,Elsie Silver,Chestnut Springs,4,Romance,0
seed-0135,Hopeless,Elsie Silver,Chestnut Springs,5,Romance,0
seed-0136,Wild Love,Elsie Silver,Rose Hill,1,Romance,0
seed-0137,Wild Eyes,Elsie Silver,Rose Hill,2,Romance,0
seed-0138,Wild Side,Elsie Silver,Rose Hill,3,Romance,0
seed-0139,Wild Card,Elsie Silver,Rose Hill,4,Romance,0
seed-0140,Salt Kiss,Sierra Simone,Lyonesse,1,Dark Romance,0
seed-0141,Honey Cut,Sierra Simone,Lyonesse,2,Dark Romance,0
seed-0142,Priest,Sierra Simone,Priest,1,Dark Romance,0
seed-0143,Phantasma,Kaylie Smith,Wicked Games,1,Romantasy,0
seed-0144,Enchantra,Kaylie Smith,Wicked Games,2,Romantasy,0
seed-0145,Dire Bound,Sable Sorensen,The Wolves of Ruin,1,Romantasy,0
seed-0146,A Touch of Darkness,Scarlett St. Clair,Hades x Persephone Sage,1,Romantasy,0
seed-0147,A Touch of Ruin,Scarlett St. Clair,Hades x Persephone Sage,2,Romantasy,0
seed-0148,A Touch of Malice,Scarlett St. Clair,Hades x Persephone Sage,3,Romantasy,0
seed-0149,A Touch of Chaos,Scarlett St. Clair,Hades x Persephone Sage,4,Romantasy,0
seed-0150,Kiss of the Basilisk,Lindsay Straube,Spit or Swallow,1,Romantasy,0
seed-0151,Between Two Kings,Lindsay Straube,Spit or Swallow,2,Romantasy,0
seed-0152,Binding 13,Chloe Walsh,Boys of Tommen,1,Romance,0
seed-0153,Keeping 13,Chloe Walsh,Boys of Tommen,2,Romance,0
seed-0154,Butcher and Blackbird,Brynne Weaver,,1,Dark Romance,0
seed-0155,Leather and Lark,Brynne Weaver,,2,Dark Romance,0
seed-0156,Scyth and Sparrow,Brynne Weaver,,3,Dark Romance,0
seed-0157,House of Beating Wings,Olivia Wildenstein,The Kingdom of Crows,1,Romantasy,0
seed-0158,House of Pounding Hearts,Olivia Wildenstein,The Kingdom of Crows,2,Romantasy,0
seed-0159,House of Striking Oaths,Olivia Wildenstein,The Kingdom of Crows,3,Romantasy,0
seed-0160,All He'll Ever Be,W Winters,Merciless,,Romance,0
seed-0161,Upon a Starlit Tide,Kell Woods,,,Romantasy,0
seed-0162,Fourth Wing,Rebecca Yarros,The Empyrean,1,Romantasy,4
seed-0163,Iron Flame,Rebecca Yarros,The Empyrean,2,Romantasy,4
seed-0164,Onyx Storm,Rebecca Yarros,The Empyrean,3,Romantasy,0
seed-0165,Nocticadia,Keri Lake,,,Dark Romance,0
seed-0166,The Works of Vermin,Hiron Ennes,,,Romance,0
seed-0167,Twisted Love,Ana Huang,Twisted,1,Romance,4
seed-0168,Twisted Games,Ana Huang,Twisted,2,Romance,4
seed-0169,The Last Tale of the Flower Bride,Roshani Chokshi,,,Romance,0
seed-0170,Twisted Hate,Ana Huang,Twisted,3,Romance,0
seed-0171,Twisted Lies,Ana Huang,Twisted,4,Romance,0
seed-0172,The Lost Kings,Ashley Munoz,,1,Romance,0
seed-0173,The Broken Queen,Ashley Munoz,,2,Romance,0
seed-0174,My Funny Demon Valentine,Aurora Ascher,Hell Bent,1,Romantasy,0
seed-0175,My Demon Hunter,Aurora Ascher,Hell Bent,2,Romantasy,0
seed-0176,The Poet Empress,Shen Tao,,,Romantasy,0
seed-0177,Done and Dusted,Iyla Sage,Rebel Blue Ranch,1,Romance,0
seed-0178,Willing Prey,Allie Oleander,,1,Romance,0
seed-0179,Swift and Saddled,Iyla Sage,Rebel Blue Ranch,2,Romance,0
seed-0180,Lost and Lassoed,Iyla Sage,Rebel Blue Ranch,3,Romance,0
seed-0181,Flock,Kate Stewart,The Ravenhood Series,1,Romance,0
seed-0182,Exodus,Kate Stewart,The Ravenhood,2,Romance,0
seed-0183,Wild and Wrangled,Iyla Sage,,4,Romance,0
seed-0184,The Finish Line,Kate Stewart,The Ravenhood,3,Romance,0
seed-0185,One Last Rainy Day,Kate Stewart,,1,Romance,0
seed-0186,Mountain Boss,S.J. Tilly,,1,Romance,0
seed-0187,Big Swiss,,,,Romance,0
seed-0188,War of Fire and Fury,Marion Blackwood,Flame and Thorns,5,Romantasy,0
seed-0189,The Deal,Elle Kennedy,,1,Romance,0
seed-0190,The Mistake,Elle Kennedy,,2,Romance,0
seed-0191,I Will Kill Your Imaginary Friend for $200,Robert Brockway,,,Romance,0
seed-0192,It Happened One Summer,Tessa Bailey,Bellinger Series,,Romance,4
seed-0193,"Hook, Line, and Sinker",Tessa Bailey,Bellinger Series,,Romance,4
seed-0194,In Her Own League,Liz Tomforde,,6,Romance,0
seed-0195,Birthday Girl,Penelope Douglas,,,Romantasy,0
seed-0196,Cash,Jessica Peterson,Lucky River Ranch,1,Romance,0
seed-0197,Briar Club,Kate Quinn,,,Romance,0
seed-0198,Of Ink and Alchemy,Sloane St. James,,1,Romance,0
seed-0199,Insatiable,Leigh Rivers,The Edge of Darkness Trilogy,1,Dark Romance,0
seed-0200,Voracious,Leigh Rivers,The Edge of Darkness Trilogy,2,Dark Romance,0
seed-0201,Restitution,Leigh Rivers,The Edge of Darkness Trilogy,3,Dark Romance,0
seed-0202,Fragile Sanctuary,Catherine Cowles,Sparrow Falls,1,Romance,0
seed-0203,Delicate Escape,Catherine Cowles,Sparrow Falls,2,Romance,0
seed-0204,Broken Harbor,Catherine Cowles,Sparrow Falls,3,Romance,0
seed-0205,Chasing Shelter,Catherine Cowles,Sparrow Falls,4,Romance,0
seed-0206,Secret Haven,Catherine Cowles,Sparrow Falls,5,Romance,0
seed-0207,Just For The Cameras,Meghan Quinn,,1,Romance,0
seed-0208,Flames of Chaos,Amelia Hutchins,,1,Romantasy,0
seed-0209,Wyatt,Jessica Peterson,Lucky River Ranch,2,Romance,0
seed-0210,Fury Bound,Sable Sorensen,,2,Romantasy,0
seed-0211,First -Time Caller,B.K. Borison,Heartstrings,1,Romance,3
seed-0212,Game on,Navessa Allen,Into Darkness,3,Romantasy,0
seed-0213,Off to the Races,Elsie Silver,Gold Rush Ranch,1,Romance,0
seed-0214,The Dark One,Nikki St. Crowe,Vicious Lost Boys,2,Romantasy,0
seed-0215,Their Vicious Darling,Nikki St. Crowe,Vicious Lost Boys,3,Romantasy,0
seed-0216,The Fae Princes,Nikki St. Crowe,Vicious Lost Boys,4,Romantasy,0
seed-0217,My Dark Fairy Tale,Giana Darling,,1,Dark Romance,0
seed-0218,My Dark Ever After,Giana Darling,,2,Dark Romance,0
seed-0219,Broken Breath,Blake Black,,1,Romance,0
seed-0220,Twisted Trials,Blake Black,,2,Romance,0
seed-0221,"Merry Christmas, You Filthy Animal",Meghan Quinn,,2,Romance,0
seed-0222,Live For Me,Brittany Ann,,1,Romance,0
seed-0223,Bad Bishop,L.J. Shen,,1,Dark Romance,0
seed-0224,Crash,Kathy Lockheart,,1,Dark Romance,0
seed-0225,Power,Kathy Lockheart,,2,Dark Romance,0
seed-0226,Master of Salt & Bones,Keri Lake,,,Dark Romance,0
seed-0227,Does it Hurt?,H.D. Carlton,,,Dark Romance,0
seed-0228,Athica Lane,Brynne Asher,,3,Romance,0
seed-0229,Her Greatest Mistake,Hannah Cowan,,1,Romance,0
seed-0230,Zodiac Academy: The Awakening,Peckham; Valenti,,1,Romantasy,0
seed-0231,Zodiac Academy: The Awakening as Told by the Boys,Peckham; Valenti,,1,Romantasy,0
seed-0232,Zodiac Academy: Ruthless Fae,Peckham; Valenti,,2,Romantasy,0
seed-0233,Zodiac Academy: The Reckoning,Peckham; Valenti,,3,Romantasy,0
seed-0234,Zodiac Academy: Shadow Princess,Peckham; Valenti,,4,Romantasy,0
seed-0235,Zodiac Academy: Cursed Fates,Peckham; Valenti,,5,Romantasy,0
seed-0236,Zodiac Academy: Fated Throne,Peckham; Valenti,,6,Romantasy,0
seed-0237,Zodiac Academy: Heartless Sky,Peckham; Valenti,,7,Romantasy,0
seed-0238,Zodiac Academy: Sorrow and Starlight,Peckham; Valenti,,8,Romantasy,0
seed-0239,Her Greatest Adventure,Hannah Cowan,,2,Romance,0
seed-0240,King of Greed,Ana Huang,,3,Romance,0
seed-0241,King of Sloth,Ana Huang,Kings of Sin,4,Romance,0
seed-0242,Eldritch,Keri Lake,,2,Romantasy,0
seed-0243,Detonate,Luna Mason,,2,Dark Romance,0
seed-0244,Beneath the Stands,Emily McIntire,,2,Romance,0
seed-0245,Beneath the Hood,Emily McIntire,,3,Romance,0
seed-0246,Beneath the Surface,Emily McIntire,,4,Romance,0
seed-0247,There Are No Saints,Sophie Lark,,1,Dark Romance,0
seed-0248,There Is No Devil,Sophie Lark,,2,Dark Romance,0
seed-0249,The Hook Up,Kristen Callihan,,1,Romance,0
seed-0250,The Friend Zone,Kristen Callihan,,2,Romance,0
seed-0251,The Game Plan,Kristen Callihan,,3,Romance,0
seed-0252,The Hot Shot,Kristen Callihan,,4,Romance,0
seed-0253,Crave,Tracy Wolff,,1,Romance,0
seed-0254,Not Your Pucking Girl,Sheridan Anne,,1,Romance,0
seed-0255,Offside,Avery Keelan,,1,Romance,0
seed-0256,Gleam,Raven Kennedy,,3,Romantasy,0
seed-0257,Glow,Raven Kennedy,,4,Romantasy,0
seed-0258,The Devils and the Dutchess,Marissa Farrar,,1,Romance,0
seed-0259,The Devils and their Doll,Marissa Farrar,,2,Romance,0
seed-0260,The Devils' Darling,Marissa Farrar,,3,Romance,0
seed-0261,Mafia and Scars,Isa Oliver,,,Romance,0
seed-0262,Kiss to Conquer,Anna B. Doe,,1,Romance,0
seed-0263,Kiss to Forgeet,Anna B. Doe,,2,Romance,0
seed-0264,Beautiful Graves,L.J. Shen,,,Romance,0
seed-0265,Improbable Meet-Cute Second Chances,multiple authors,,,Romance,0
seed-0266,Chasing the Wild,Elliott Rose,,1,Romance,0
seed-0267,Where I Belong,J. Daniels,,1,Romance,0
seed-0268,All I Want,J. Daniels,,2,Romance,0
seed-0269,The Penalty,D.C. Kile,,1,Romance,0
seed-0270,The Score,Elle Kennedy,,3,Romance,0
seed-0271,The Goal,Elle Kennedy,,4,Romance,0
seed-0272,The Legacy,Elle Kennedy,,5,Romance,0
seed-0273,Endgame,Willa Gray,,,Romance,0
seed-0274,Mountain Daddy,S.J. Tilly,,2,Romance,0
seed-0275,The Hidden Falling,Kelly Cove,,1,Romantasy,0
seed-0276,The Dark Rising,Kelly Cove,,2,Romantasy,0
seed-0277,Camera Shy,Kay Cove,,1,Romance,0
seed-0278,Snapshot,Kay Cove,,2,Romance,0
seed-0279,Vanguard,Karina Halle,,,Dark Romance,0
seed-0280,The Wrong Quarterback,C.R. Jane,,1,Romance,0
seed-0281,The Wrong Play,C.R. Jane,,2,Romance,0
seed-0282,Face Off,Chelsea Curto,,1,Romance,0
seed-0283,Bulletproof,K.M. Moronova,Dark Forces,4,Romance,0
seed-0284,Shutout,Avery Keelan,,2,Romance,0
seed-0285,A Broken Promise,Tetyana Walker,,1,Romantasy,0
seed-0286,A Simple Truth,Tetyana Walker,,2,Romantasy,0
seed-0287,A Rising Hope,Tetyana Walker,,3,Romantasy,0
seed-0288,A Photo Finish,Elsie Silver,,2,Romance,0
seed-0289,The Front Runner,Elsie Silver,,3,Romance,0
seed-0290,The False Start,Elsie Silver,,4,Romance,0
