title,author,series,position,subgenre,spice,fave,rating
War of Fire and Fury,Marion Blackwood,Flame and Thorns,5,Romantasy,0,,3.0
The Deal,Elle Kennedy,,1,Romance,0,,3.5
The Mistake,Elle Kennedy,,2,Romance,0,,3.5
I Will Kill Your Imaginary Friend for $200,Robert Brockway,,,Romance,0,,5.0
It Happened One Summer,Tessa Bailey,Bellinger Series,,Romance,4,,3.0
"Hook, Line, and Sinker",Tessa Bailey,Bellinger Series,,Romance,4,,3.0
In Her Own League,Liz Tomforde,,6,Romance,0,,5.0
Birthday Girl,Penelope Douglas,,,Romantasy,0,,3.0
Cash,Jessica Peterson,Lucky River Ranch,1,Romance,0,,2.5
Briar Club,Kate Quinn,,,Romance,0,,3.0
Of Ink and Alchemy,Sloane St. James,,1,Romance,0,,3.0
Insatiable,Leigh Rivers,The Edge of Darkness Trilogy,1,Dark Romance,0,,3.5
Voracious,Leigh Rivers,The Edge of Darkness Trilogy,2,Dark Romance,0,,3.5
Restitution,Leigh Rivers,The Edge of Darkness Trilogy,3,Dark Romance,0,,3.5
Fragile Sanctuary,Catherine Cowles,Sparrow Falls,1,Romance,0,,2.5
Delicate Escape,Catherine Cowles,Sparrow Falls,2,Romance,0,,2.5
Broken Harbor,Catherine Cowles,Sparrow Falls,3,Romance,0,,2.5
Chasing Shelter,Catherine Cowles,Sparrow Falls,4,Romance,0,,2.5
Secret Haven,Catherine Cowles,Sparrow Falls,5,Romance,0,,2.5
Just For The Cameras,Meghan Quinn,,1,Romance,0,,3.0
Flames of Chaos,Amelia Hutchins,,1,Romantasy,0,,2.0
Wyatt,Jessica Peterson,Lucky River Ranch,2,Romance,0,,3.0
Fury Bound,Sable Sorensen,,2,Romantasy,0,,3.0
First -Time Caller,B.K. Borison,Heartstrings,1,Romance,3,,3.5
Game on,Navessa Allen,Into Darkness,3,Romantasy,0,,3.5
Off to the Races,Elsie Silver,Gold Rush Ranch,1,Romance,0,,3.5
The Dark One,Nikki St. Crowe,Vicious Lost Boys,2,Romantasy,0,,4.0
Their Vicious Darling,Nikki St. Crowe,Vicious Lost Boys,3,Romantasy,0,,4.0
The Fae Princes,Nikki St. Crowe,Vicious Lost Boys,4,Romantasy,0,,4.0
My Dark Fairy Tale,Giana Darling,,1,Dark Romance,0,,2.0
My Dark Ever After,Giana Darling,,2,Dark Romance,0,,2.0
Broken Breath,Blake Black,,1,Romance,0,,2.5
Twisted Trials,Blake Black,,2,Romance,0,,2.5
"Merry Christmas, You Filthy Animal",Meghan Quinn,,2,Romance,0,,2.0
Live For Me,Brittany Ann,,1,Romance,0,,3.0
Bad Bishop,L.J. Shen,,1,Dark Romance,0,,2.5
Crash,Kathy Lockheart,,1,Dark Romance,0,,2.5
Power,Kathy Lockheart,,2,Dark Romance,0,,2.5
Master of Salt & Bones,Keri Lake,,,Dark Romance,0,,0
Does it Hurt?,H.D. Carlton,,,Dark Romance,0,,0
Athica Lane,Brynne Asher,,3,Romance,0,,2.5
Her Greatest Mistake,Hannah Cowan,,1,Romance,0,,0
Zodiac Academy: The Awakening,Peckham; Valenti,,1,Romantasy,0,,0
Zodiac Academy: The Awakening as Told by the Boys,Peckham; Valenti,,1,Romantasy,0,,0
Zodiac Academy: Ruthless Fae,Peckham; Valenti,,2,Romantasy,0,,0
Zodiac Academy: The Reckoning,Peckham; Valenti,,3,Romantasy,0,,0
Zodiac Academy: Shadow Princess,Peckham; Valenti,,4,Romantasy,0,,0
Zodiac Academy: Cursed Fates,Peckham; Valenti,,5,Romantasy,0,,0
Zodiac Academy: Fated Throne,Peckham; Valenti,,6,Romantasy,0,,0
Zodiac Academy: Heartless Sky,Peckham; Valenti,,7,Romantasy,0,,0
Zodiac Academy: Sorrow and Starlight,Peckham; Valenti,,8,Romantasy,0,,0
Her Greatest Adventure,Hannah Cowan,,2,Romance,0,,0
King of Greed,Ana Huang,,3,Romance,0,,0
King of Sloth,Ana Huang,Kings of Sin,4,Romance,0,,0
Eldritch,Keri Lake,,2,Romantasy,0,,0
Detonate,Luna Mason,,2,Dark Romance,0,,0
Beneath the Stands,Emily McIntire,,2,Romance,0,,0
Beneath the Hood,Emily McIntire,,3,Romance,0,,0
